{'a_cols': 18, 'a_nonzero': 48, 'a_rows': 9, 'a_size': 162, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.2962962962962963, 'mat_file': 'data/example_mats_small/quad/p2/gauss-legendre-lobatto/m132.txt', 'xsmm_reference_avg': 2.8563125, 'xsmm_reference_best': 2.738, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 9, 'a_nonzero': 48, 'a_rows': 18, 'a_size': 162, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.2962962962962963, 'mat_file': 'data/example_mats_small/quad/p2/gauss-legendre-lobatto/m460.txt', 'xsmm_reference_avg': 4.241374999999997, 'xsmm_reference_best': 4.065, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 9, 'a_nonzero': 36, 'a_rows': 12, 'a_size': 108, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.3333333333333333, 'mat_file': 'data/example_mats_small/quad/p2/gauss-legendre/m0.txt', 'xsmm_reference_avg': 3.1869583333333336, 'xsmm_reference_best': 3.147, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 12, 'a_nonzero': 36, 'a_rows': 9, 'a_size': 108, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.3333333333333333, 'mat_file': 'data/example_mats_small/quad/p2/gauss-legendre/m3.txt', 'xsmm_reference_avg': 2.401312500000001, 'xsmm_reference_best': 2.367, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 12, 'a_nonzero': 36, 'a_rows': 18, 'a_size': 216, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.16666666666666666, 'mat_file': 'data/example_mats_small/quad/p2/gauss-legendre/m6.txt', 'xsmm_reference_avg': 4.3573125, 'xsmm_reference_best': 4.319, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 18, 'a_nonzero': 48, 'a_rows': 9, 'a_size': 162, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.2962962962962963, 'mat_file': 'data/example_mats_small/quad/p2/gauss-legendre/m132.txt', 'xsmm_reference_avg': 2.9284375, 'xsmm_reference_best': 2.83, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 9, 'a_nonzero': 48, 'a_rows': 18, 'a_size': 162, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.2962962962962963, 'mat_file': 'data/example_mats_small/quad/p2/gauss-legendre/m460.txt', 'xsmm_reference_avg': 4.263770833333333, 'xsmm_reference_best': 4.229, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 16, 'a_nonzero': 16, 'a_rows': 16, 'a_size': 256, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats_small/quad/p3/gauss-legendre-lobatto/m0.txt', 'xsmm_reference_avg': 3.795999999999999, 'xsmm_reference_best': 3.759, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 16, 'a_nonzero': 64, 'a_rows': 16, 'a_size': 256, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats_small/quad/p3/gauss-legendre-lobatto/m3.txt', 'xsmm_reference_avg': 4.344458333333334, 'xsmm_reference_best': 4.295, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 16, 'a_nonzero': 64, 'a_rows': 32, 'a_size': 512, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.125, 'mat_file': 'data/example_mats_small/quad/p3/gauss-legendre-lobatto/m6.txt', 'xsmm_reference_avg': 7.537249999999998, 'xsmm_reference_best': 7.484, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 32, 'a_nonzero': 112, 'a_rows': 16, 'a_size': 512, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.21875, 'mat_file': 'data/example_mats_small/quad/p3/gauss-legendre-lobatto/m132.txt', 'xsmm_reference_avg': 6.652666666666665, 'xsmm_reference_best': 6.456, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 16, 'a_nonzero': 112, 'a_rows': 32, 'a_size': 512, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.21875, 'mat_file': 'data/example_mats_small/quad/p3/gauss-legendre-lobatto/m460.txt', 'xsmm_reference_avg': 8.23616666666667, 'xsmm_reference_best': 8.142, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 16, 'a_nonzero': 64, 'a_rows': 16, 'a_size': 256, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats_small/quad/p3/gauss-legendre/m0.txt', 'xsmm_reference_avg': 4.520479166666666, 'xsmm_reference_best': 4.476, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 16, 'a_nonzero': 64, 'a_rows': 16, 'a_size': 256, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats_small/quad/p3/gauss-legendre/m3.txt', 'xsmm_reference_avg': 4.3971875, 'xsmm_reference_best': 4.325, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 16, 'a_nonzero': 64, 'a_rows': 32, 'a_size': 512, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.125, 'mat_file': 'data/example_mats_small/quad/p3/gauss-legendre/m6.txt', 'xsmm_reference_avg': 7.735208333333332, 'xsmm_reference_best': 7.62, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 32, 'a_nonzero': 128, 'a_rows': 16, 'a_size': 512, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats_small/quad/p3/gauss-legendre/m132.txt', 'xsmm_reference_avg': 6.632145833333335, 'xsmm_reference_best': 6.374, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 16, 'a_nonzero': 128, 'a_rows': 32, 'a_size': 512, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats_small/quad/p3/gauss-legendre/m460.txt', 'xsmm_reference_avg': 8.53160416666667, 'xsmm_reference_best': 8.386, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 25, 'a_nonzero': 20, 'a_rows': 20, 'a_size': 500, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'data/example_mats_small/quad/p4/gauss-legendre-lobatto/m0.txt', 'xsmm_reference_avg': 4.780083333333333, 'xsmm_reference_best': 4.731, 'xsmm_reference_kernel_type': 'wide-sparse'}
