{'a_cols': 294, 'a_nonzero': 2058, 'a_rows': 343, 'a_size': 100842, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02040816326530612, 'mat_file': 'data/example_mats/hex/p6/gauss-legendre-lobatto/m3.txt', 'speedup_avg_over_ref': 1.0018844410662142, 'speedup_best_over_ref': 1.0026031390419938, 'xsmm_custom_avg': 158.09285416666668, 'xsmm_custom_best': 157.118, 'xsmm_reference_avg': 158.39077083333336, 'xsmm_reference_best': 157.527}
{'a_cols': 294, 'a_nonzero': 2058, 'a_rows': 1029, 'a_size': 302526, 'a_unique': 10, 'alpha': 1.0, 'beta': 0.0, 'density': 0.006802721088435374, 'mat_file': 'data/example_mats/hex/p6/gauss-legendre-lobatto/m6.txt', 'speedup_avg_over_ref': 1.0001750719671314, 'speedup_best_over_ref': 1.0012160964597363, 'xsmm_custom_avg': 310.3485625, 'xsmm_custom_best': 309.186, 'xsmm_reference_avg': 310.4028958333333, 'xsmm_reference_best': 309.562}
{'a_cols': 1029, 'a_nonzero': 6468, 'a_rows': 343, 'a_size': 352947, 'a_unique': 44, 'alpha': 1.0, 'beta': 0.0, 'density': 0.018325697625989172, 'mat_file': 'data/example_mats/hex/p6/gauss-legendre-lobatto/m132.txt', 'speedup_avg_over_ref': 0.9942134982944295, 'speedup_best_over_ref': 0.9946468593714226, 'xsmm_custom_avg': 647.6207083333334, 'xsmm_custom_best': 642.053, 'xsmm_reference_avg': 643.8732499999998, 'xsmm_reference_best': 638.616}
{'a_cols': 343, 'a_nonzero': 6468, 'a_rows': 1029, 'a_size': 352947, 'a_unique': 44, 'alpha': 1.0, 'beta': 0.0, 'density': 0.018325697625989172, 'mat_file': 'data/example_mats/hex/p6/gauss-legendre-lobatto/m460.txt', 'speedup_avg_over_ref': 1.0023743496506639, 'speedup_best_over_ref': 1.0030405732906795, 'xsmm_custom_avg': 539.1213125, 'xsmm_custom_best': 536.412, 'xsmm_reference_avg': 540.4013749999999, 'xsmm_reference_best': 538.043}
{'a_cols': 343, 'a_nonzero': 2058, 'a_rows': 294, 'a_size': 100842, 'a_unique': 7, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02040816326530612, 'mat_file': 'data/example_mats/hex/p6/gauss-legendre/m0.txt', 'speedup_avg_over_ref': 1.000772408694872, 'speedup_best_over_ref': 0.9977412068409163, 'xsmm_custom_avg': 264.45952083333333, 'xsmm_custom_best': 263.415, 'xsmm_reference_avg': 264.66379166666667, 'xsmm_reference_best': 262.82}
{'a_cols': 294, 'a_nonzero': 2058, 'a_rows': 343, 'a_size': 100842, 'a_unique': 7, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02040816326530612, 'mat_file': 'data/example_mats/hex/p6/gauss-legendre/m3.txt', 'speedup_avg_over_ref': 0.9986163737951763, 'speedup_best_over_ref': 0.9974171849219443, 'xsmm_custom_avg': 158.4905416666667, 'xsmm_custom_best': 157.58, 'xsmm_reference_avg': 158.27125, 'xsmm_reference_best': 157.173}
{'a_cols': 294, 'a_nonzero': 2058, 'a_rows': 1029, 'a_size': 302526, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.006802721088435374, 'mat_file': 'data/example_mats/hex/p6/gauss-legendre/m6.txt', 'speedup_avg_over_ref': 1.0005135397040659, 'speedup_best_over_ref': 1.001383327501976, 'xsmm_custom_avg': 310.5488541666667, 'xsmm_custom_best': 308.67600000000004, 'xsmm_reference_avg': 310.7083333333334, 'xsmm_reference_best': 309.10299999999995}
{'a_cols': 1029, 'a_nonzero': 7056, 'a_rows': 343, 'a_size': 352947, 'a_unique': 48, 'alpha': 1.0, 'beta': 0.0, 'density': 0.019991670137442734, 'mat_file': 'data/example_mats/hex/p6/gauss-legendre/m132.txt', 'speedup_avg_over_ref': 1.0007807461918807, 'speedup_best_over_ref': 1.000020863728557, 'xsmm_custom_avg': 675.4222291666666, 'xsmm_custom_best': 671.021, 'xsmm_reference_avg': 675.9495625000001, 'xsmm_reference_best': 671.035}
{'a_cols': 343, 'a_nonzero': 7056, 'a_rows': 1029, 'a_size': 352947, 'a_unique': 48, 'alpha': 1.0, 'beta': 0.0, 'density': 0.019991670137442734, 'mat_file': 'data/example_mats/hex/p6/gauss-legendre/m460.txt', 'speedup_avg_over_ref': 1.039354143328508, 'speedup_best_over_ref': 1.0397063857144238, 'xsmm_custom_avg': 4987.324291666667, 'xsmm_custom_best': 4870.199, 'xsmm_reference_avg': 5183.596166666667, 'xsmm_reference_best': 5063.577}
{'a_cols': 4, 'a_nonzero': 16, 'a_rows': 8, 'a_size': 32, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'data/example_mats/quad/p1/gauss-legendre/m0.txt', 'speedup_avg_over_ref': 1.0052309291395518, 'speedup_best_over_ref': 1.1586345381526104, 'xsmm_custom_avg': 1.8439999999999996, 'xsmm_custom_best': 1.494, 'xsmm_reference_avg': 1.853645833333333, 'xsmm_reference_best': 1.731}
