{'a_cols': 12, 'a_nonzero': 36, 'a_rows': 9, 'a_size': 108, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.3333333333333333, 'mat_file': 'data/example_mats_small/quad/p2/gauss-legendre-lobatto/m3.txt', 'xsmm_reference_avg': 2.4798125, 'xsmm_reference_best': 2.439, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 12, 'a_nonzero': 36, 'a_rows': 18, 'a_size': 216, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.16666666666666666, 'mat_file': 'data/example_mats_small/quad/p2/gauss-legendre-lobatto/m6.txt', 'xsmm_reference_avg': 4.354833333333332, 'xsmm_reference_best': 4.326, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 18, 'a_nonzero': 48, 'a_rows': 9, 'a_size': 162, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.2962962962962963, 'mat_file': 'data/example_mats_small/quad/p2/gauss-legendre-lobatto/m132.txt', 'xsmm_reference_avg': 2.6802291666666664, 'xsmm_reference_best': 2.593, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 9, 'a_nonzero': 48, 'a_rows': 18, 'a_size': 162, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.2962962962962963, 'mat_file': 'data/example_mats_small/quad/p2/gauss-legendre-lobatto/m460.txt', 'xsmm_reference_avg': 4.260375, 'xsmm_reference_best': 4.226, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 9, 'a_nonzero': 36, 'a_rows': 12, 'a_size': 108, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.3333333333333333, 'mat_file': 'data/example_mats_small/quad/p2/gauss-legendre/m0.txt', 'xsmm_reference_avg': 2.957333333333333, 'xsmm_reference_best': 2.871, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 12, 'a_nonzero': 36, 'a_rows': 9, 'a_size': 108, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.3333333333333333, 'mat_file': 'data/example_mats_small/quad/p2/gauss-legendre/m3.txt', 'xsmm_reference_avg': 2.4745833333333334, 'xsmm_reference_best': 2.433, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 12, 'a_nonzero': 36, 'a_rows': 18, 'a_size': 216, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.16666666666666666, 'mat_file': 'data/example_mats_small/quad/p2/gauss-legendre/m6.txt', 'xsmm_reference_avg': 4.248729166666666, 'xsmm_reference_best': 4.178, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 18, 'a_nonzero': 48, 'a_rows': 9, 'a_size': 162, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.2962962962962963, 'mat_file': 'data/example_mats_small/quad/p2/gauss-legendre/m132.txt', 'xsmm_reference_avg': 2.709166666666666, 'xsmm_reference_best': 2.595, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 9, 'a_nonzero': 48, 'a_rows': 18, 'a_size': 162, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.2962962962962963, 'mat_file': 'data/example_mats_small/quad/p2/gauss-legendre/m460.txt', 'xsmm_reference_avg': 4.3483333333333345, 'xsmm_reference_best': 4.33, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 16, 'a_nonzero': 16, 'a_rows': 16, 'a_size': 256, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats_small/quad/p3/gauss-legendre-lobatto/m0.txt', 'xsmm_reference_avg': 3.8368333333333333, 'xsmm_reference_best': 3.802, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 16, 'a_nonzero': 64, 'a_rows': 16, 'a_size': 256, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats_small/quad/p3/gauss-legendre-lobatto/m3.txt', 'xsmm_reference_avg': 4.321437500000002, 'xsmm_reference_best': 4.273, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 16, 'a_nonzero': 64, 'a_rows': 32, 'a_size': 512, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.125, 'mat_file': 'data/example_mats_small/quad/p3/gauss-legendre-lobatto/m6.txt', 'xsmm_reference_avg': 7.780125000000001, 'xsmm_reference_best': 7.619, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 32, 'a_nonzero': 112, 'a_rows': 16, 'a_size': 512, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.21875, 'mat_file': 'data/example_mats_small/quad/p3/gauss-legendre-lobatto/m132.txt', 'xsmm_reference_avg': 6.500395833333335, 'xsmm_reference_best': 6.298, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 16, 'a_nonzero': 112, 'a_rows': 32, 'a_size': 512, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.21875, 'mat_file': 'data/example_mats_small/quad/p3/gauss-legendre-lobatto/m460.txt', 'xsmm_reference_avg': 8.276895833333334, 'xsmm_reference_best': 8.188, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 16, 'a_nonzero': 64, 'a_rows': 16, 'a_size': 256, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats_small/quad/p3/gauss-legendre/m0.txt', 'xsmm_reference_avg': 4.536729166666667, 'xsmm_reference_best': 4.477, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 16, 'a_nonzero': 64, 'a_rows': 16, 'a_size': 256, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats_small/quad/p3/gauss-legendre/m3.txt', 'xsmm_reference_avg': 4.3389791666666655, 'xsmm_reference_best': 4.3, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 16, 'a_nonzero': 64, 'a_rows': 32, 'a_size': 512, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.125, 'mat_file': 'data/example_mats_small/quad/p3/gauss-legendre/m6.txt', 'xsmm_reference_avg': 7.7018749999999985, 'xsmm_reference_best': 7.639, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 32, 'a_nonzero': 128, 'a_rows': 16, 'a_size': 512, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats_small/quad/p3/gauss-legendre/m132.txt', 'xsmm_reference_avg': 6.700291666666666, 'xsmm_reference_best': 6.496, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 16, 'a_nonzero': 128, 'a_rows': 32, 'a_size': 512, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats_small/quad/p3/gauss-legendre/m460.txt', 'xsmm_reference_avg': 8.354000000000001, 'xsmm_reference_best': 8.188, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 25, 'a_nonzero': 20, 'a_rows': 20, 'a_size': 500, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'data/example_mats_small/quad/p4/gauss-legendre-lobatto/m0.txt', 'xsmm_reference_avg': 4.912999999999999, 'xsmm_reference_best': 4.811, 'xsmm_reference_kernel_type': 'sparse'}
